block,code,prime,target,type
1,T001,nama,NAME,cog
2,T002,kode,CODE,cog
3,T003,klub,CLUB,cog
4,T004,zona,ZONE,cog
1,T005,pipa,PIPE,cog
2,T006,koin,COIN,cog
3,T007,juri,JURY,cog
4,T008,kamp,CAMP,cog
1,T009,ikon,ICON,cog
2,T010,klan,CLAN,cog
3,T011,klip,CLIP,cog
4,T012,kafe,CAFE,cog
1,T013,pori,PORE,cog
2,T014,moda,MODE,cog
3,T015,musik,MUSIC,cog
4,T016,studi,STUDY,cog
1,T017,topik,TOPIC,cog
2,T018,aktor,ACTOR,cog
3,T019,kuota,QUOTA,cog
4,T020,kabin,CABIN,cog
1,T021,skuad,SQUAD,cog
2,T022,komet,COMET,cog
3,T023,sirup,SYRUP,cog
4,T024,energi,ENERGY,cog
1,T025,kamera,CAMERA,cog
2,T026,faktor,FACTOR,cog
3,T027,simbol,SYMBOL,cog
4,T028,kredit,CREDIT,cog
1,T029,survei,SURVEY,cog
2,T030,memori,MEMORY,cog
3,T031,krisis,CRISIS,cog
4,T032,doktor,DOCTOR,cog
1,T033,kasino,CASINO,cog
2,T034,karbon,CARBON,cog
3,T035,pensil,PENCIL,cog
4,T036,karpet,CARPET,cog
1,T037,deputi,DEPUTY,cog
2,T038,maskot,MASCOT,cog
3,T039,sereal,CEREAL,cog
4,T040,pensiun,PENSION,cog
1,T041,kontrol,CONTROL,cog
2,T042,manajer,MANAGER,cog
3,T043,kolonel,COLONEL,cog
4,T044,spesies,SPECIES,cog
1,T045,alkohol,ALCOHOL,cog
2,T046,plastik,PLASTIC,cog
3,T047,kabinet,CABINET,cog
4,T048,katalog,CATALOG,cog
1,T049,reaktor,REACTOR,cog
2,T050,biskuit,BISCUIT,cog
3,T051,rasa,RASH,nei
4,T052,uang,GANG,nei
1,T053,mata,MATE,nei
2,T054,pagi,PAGE,nei
3,T055,soal,GOAL,nei
4,T056,sisa,VISA,nei
1,T057,daun,DAWN,nei
2,T058,babi,BABY,nei
3,T059,kain,PAIN,nei
4,T060,paru,PARK,nei
1,T061,debu,DEBT,nei
2,T062,cair,HAIR,nei
3,T063,duit,SUIT,nei
4,T064,sate,DATE,nei
1,T065,malam,MADAM,nei
2,T066,tanda,PANDA,nei
3,T067,dosen,DOZEN,nei
4,T068,layar,LAYER,nei
1,T069,pulsa,PULSE,nei
2,T070,candi,CANDY,nei
3,T071,tabel,LABEL,nei
4,T072,kadar,RADAR,nei
1,T073,panen,PANEL,nei
2,T074,polisi,POLISH,nei
3,T075,daging,PAGING,nei
4,T076,kanker,TANKER,nei
1,T077,tombol,TOMBOY,nei
2,T078,piring,WIRING,nei
3,T079,betina,RETINA,nei
4,T080,poster,ROSTER,nei
1,T081,paspor,PASTOR,nei
2,T082,pistol,PISTON,nei
3,T083,suster,SISTER,nei
4,T084,sentra,SENTRY,nei
1,T085,sandal,VANDAL,nei
2,T086,podium,SODIUM,nei
3,T087,sumpit,SUMMIT,nei
4,T088,bordir,BORDER,nei
1,T089,gorden,GARDEN,nei
2,T090,insiden,INSIDER,nei
3,T091,marinir,MARINER,nei
4,T092,ranting,RANKING,nei
1,T093,trailer,TRAINER,nei
2,T094,gunting,HUNTING,nei
3,T095,resimen,REGIMEN,nei
4,T096,beranda,VERANDA,nei
1,T097,reserse,RESERVE,nei
2,T098,meteran,VETERAN,nei
3,T099,klaster,BLASTER,nei
4,T100,stadion,STATION,nei
1,T101,ikan,FISH,tra
2,T102,kayu,WOOD,tra
3,T103,toko,SHOP,tra
4,T104,nasi,RICE,tra
1,T105,susu,MILK,tra
2,T106,atap,ROOF,tra
3,T107,tali,ROPE,tra
4,T108,ekor,TAIL,tra
1,T109,biji,SEED,tra
2,T110,akar,ROOT,tra
3,T111,pita,TAPE,tra
4,T112,kado,GIFT,tra
1,T113,rusa,DEER,tra
2,T114,koki,CHEF,tra
3,T115,kursi,CHAIR,tra
4,T116,mulut,MOUTH,tra
1,T117,lampu,LIGHT,tra
2,T118,hakim,JUDGE,tra
3,T119,logam,METAL,tra
4,T120,badai,STORM,tra
1,T121,gelas,GLASS,tra
2,T122,sihir,MAGIC,tra
3,T123,irama,RHYME,tra
4,T124,petani,FARMER,tra
1,T125,bahaya,DANGER,tra
2,T126,dampak,IMPACT,tra
3,T127,cedera,INJURY,tra
4,T128,peluru,BULLET,tra
1,T129,dompet,WALLET,tra
2,T130,ulasan,REVIEW,tra
3,T131,naskah,SCRIPT,tra
4,T132,ekspor,EXPORT,tra
1,T133,cermin,MIRROR,tra
2,T134,sepupu,COUSIN,tra
3,T135,lembah,VALLEY,tra
4,T136,tebing,CANYON,tra
1,T137,tempur,COMBAT,tra
2,T138,karier,CAREER,tra
3,T139,satgas,FORCES,tra
4,T140,petugas,OFFICER,tra
1,T141,liburan,HOLIDAY,tra
2,T142,artikel,ARTICLE,tra
3,T143,kampung,VILLAGE,tra
4,T144,pelajar,STUDENT,tra
1,T145,seragam,UNIFORM,tra
2,T146,pejuang,WARRIOR,tra
3,T147,pendiri,FOUNDER,tra
4,T148,kristal,CRYSTAL,tra
1,T149,berlian,DIAMOND,tra
2,T150,sirkuit,CIRCUIT,tra
3,T151,pria,FACE,unr
4,T152,buku,NEWS,unr
1,T153,lagu,FOOD,unr
2,T154,guru,PAST,unr
3,T155,laut,LIST,unr
4,T156,alam,ROAD,unr
1,T157,ayah,TOWN,unr
2,T158,liga,FILM,unr
3,T159,usia,TEST,unr
4,T160,ahli,VIEW,unr
1,T161,baju,LORD,unr
2,T162,kopi,DOOR,unr
3,T163,otak,ARMY,unr
4,T164,koil,WHEY,unr
1,T165,bahan,CHIEF,unr
2,T166,korps,JEWEL,unr
3,T167,kobra,TUMMY,unr
4,T168,disko,KNIFE,unr
1,T169,seleb,SNAIL,unr
2,T170,baret,SHARK,unr
3,T171,koral,COMMA,unr
4,T172,tonik,BRIDE,unr
1,T173,nilon,SQUID,unr
2,T174,tujuan,GROUND,unr
3,T175,produk,SOURCE,unr
4,T176,berita,LEAGUE,unr
1,T177,sosial,ATTACK,unr
2,T178,dokter,CHOICE,unr
3,T179,lokasi,ACCESS,unr
4,T180,melodi,INSECT,unr
1,T181,sekuel,MOSQUE,unr
2,T182,konsul,GALLON,unr
3,T183,kanvas,CARROT,unr
4,T184,embrio,WAITER,unr
1,T185,kartel,AERIAL,unr
2,T186,maniak,RECIPE,unr
3,T187,rubrik,THRILL,unr
4,T188,dinamo,CALVES,unr
1,T189,nektar,ARCADE,unr
2,T190,saudara,RESPECT,unr
3,T191,bintang,CENTURY,unr
4,T192,politik,CONTENT,unr
1,T193,pasukan,SECTION,unr
2,T194,senjata,EPISODE,unr
3,T195,catatan,JUSTICE,unr
4,T196,menteri,SUBJECT,unr
1,T197,traktor,GRENADE,unr
2,T198,kurator,KETCHUP,unr
3,T199,kreator,GIRAFFE,unr
4,T200,piramid,MINIVAN,unr
1,T201,karu,KELL,nw
2,T202,naja,GORT,nw
3,T203,juda,THOK,nw
4,T204,atat,FROD,nw
1,T205,koti,LERE,nw
2,T206,dema,THOD,nw
3,T207,lumu,WHAY,nw
4,T208,jiba,AWAM,nw
1,T209,delm,BOVE,nw
2,T210,juap,USEM,nw
3,T211,gami,MANT,nw
4,T212,juki,WEAT,nw
1,T213,pami,COUR,nw
2,T214,jata,MOME,nw
3,T215,jada,EVED,nw
4,T216,atah,HANT,nw
1,T217,pama,SUST,nw
2,T218,raas,THAM,nw
3,T219,taya,NEAL,nw
4,T220,tita,YOOK,nw
1,T221,ileh,LOME,nw
2,T222,siki,LORK,nw
3,T223,paik,DAKE,nw
4,T224,bilu,HAID,nw
1,T225,suda,TARY,nw
2,T226,jato,GOME,nw
3,T227,ikar,BOEN,nw
4,T228,obak,DACK,nw
1,T229,uaya,WIFT,nw
2,T230,soti,WANG,nw
3,T231,maun,LOOW,nw
4,T232,timi,FROK,nw
1,T233,jila,LOEN,nw
2,T234,dato,WHAR,nw
3,T235,kauh,MAIS,nw
4,T236,baia,THAY,nw
1,T237,anap,OVEM,nw
2,T238,cuas,FEEY,nw
3,T239,prik,INOW,nw
4,T240,jank,EVEL,nw
1,T241,enal,THOW,nw
2,T242,maat,DADE,nw
3,T243,ilan,AWAR,nw
4,T244,dahu,PAND,nw
1,T245,ding,VEEL,nw
2,T246,dela,MAME,nw
3,T247,luti,CIND,nw
4,T248,umuh,THER,nw
1,T249,daja,PACH,nw
2,T250,kaja,THEP,nw
3,T251,sawa,KNOD,nw
4,T252,mawa,SAIS,nw
1,T253,naru,FREP,nw
2,T254,prat,FRES,nw
3,T255,sata,LITO,nw
4,T256,liba,TELY,nw
1,T257,benti,GRDIN,nw
2,T258,huand,THERD,nw
3,T259,pepam,USKED,nw
4,T260,jelah,WOUSS,nw
1,T261,nompa,CHOLE,nw
2,T262,bentu,RIRSE,nw
3,T263,hidan,SODER,nw
4,T264,sakus,DOUNG,nw
1,T265,betuh,OTOUP,nw
2,T266,moman,POWED,nw
3,T267,butah,MAKEY,nw
4,T268,nagil,NEECH,nw
1,T269,lekuh,COMAL,nw
2,T270,litur,WOMEY,nw
3,T271,bakit,UNTED,nw
4,T272,sesmi,CASEO,nw
1,T273,mecis,NEANG,nw
2,T274,denti,VIMER,nw
3,T275,orapu,BEALL,nw
4,T276,hakil,UNTER,nw
1,T277,hanit,OTOSE,nw
2,T278,talih,YONEN,nw
3,T279,kesmi,NODIN,nw
4,T280,islah,BLAVE,nw
1,T281,rertu,SMANK,nw
2,T282,decih,BLAIC,nw
3,T283,kahan,POMEL,nw
4,T284,wakur,CLART,nw
1,T285,cukum,MEANG,nw
2,T286,penih,TOUTH,nw
3,T287,jekun,HOONG,nw
4,T288,bukup,LATIR,nw
1,T289,penil,COULE,nw
2,T290,hakum,BEATH,nw
3,T291,perja,MEAVE,nw
4,T292,pewat,THECH,nw
1,T293,memoga,DOURCE,nw
2,T294,antapa,SERING,nw
3,T295,rampir,BEFORD,nw
4,T296,tujuah,GEORGY,nw
1,T297,diritu,LITHER,nw
2,T298,tetara,ANSIDE,nw
3,T299,gampak,GROULT,nw
4,T300,kartai,SERSON,nw
1,T301,korbar,AUGURE,nw
2,T302,banggu,CAREET,nw
3,T303,sosing,GROUGH,nw
4,T304,seluah,CENTEM,nw
1,T305,nelera,HEALLY,nw
2,T306,keritu,LONGET,nw
3,T307,hingin,ACTIRE,nw
4,T308,sanggu,HIGURE,nw
1,T309,santik,CENTED,nw
2,T310,kenapi,STREER,nw
3,T311,lantuk,SHOICE,nw
4,T312,sempir,NEASON,nw
1,T313,hadian,WITTEN,nw
2,T314,barada,BECENT,nw
3,T315,denuju,STATEM,nw
4,T316,segeri,MOMING,nw
1,T317,bahasi,RESUES,nw
2,T318,terius,FAMING,nw
3,T319,kangah,GEOPLE,nw
4,T320,kempir,THOUND,nw
1,T321,senggu,AROUGH,nw
2,T322,kadani,MATTLE,nw
3,T323,hambut,EFFICE,nw
4,T324,kadian,COMENT,nw
1,T325,mingin,EUROND,nw
2,T326,daergi,MONGLE,nw
3,T327,kangga,UNITEN,nw
4,T328,renapa,COMMER,nw
1,T329,begala,OFFECT,nw
2,T330,dingun,PLEATE,nw
3,T331,milini,FRIENT,nw
4,T332,tingsa,ACROPE,nw
1,T333,hampak,DOUPLY,nw
2,T334,wising,SECONE,nw
3,T335,sepati,ENERGE,nw
4,T336,canjut,INSWER,nw
1,T337,bantan,CHURCE,nw
2,T338,temoga,REPORE,nw
3,T339,pempak,BECORE,nw
4,T340,berimu,REVING,nw
1,T341,tendah,DOUPLE,nw
2,T342,dentuk,LEARGE,nw
3,T343,menggu,AROULT,nw
4,T344,toling,MYSTES,nw
1,T345,seduli,THOICE,nw
2,T346,setian,CHARLY,nw
3,T347,barani,SERION,nw
4,T348,temang,POLLOW,nw
1,T349,bupala,SEEIND,nw
2,T350,hilali,OFFICY,nw
3,T351,tunung,CRENTS,nw
4,T352,korbat,EURNED,nw
1,T353,cangga,CHOUND,nw
2,T354,enerah,SEALTH,nw
3,T355,ketian,SHOUGH,nw
4,T356,merita,SOURCH,nw
1,T357,berikin,COLLISH,nw
2,T358,latanam,RELIETY,nw
3,T359,kangkit,PROUGHT,nw
4,T360,pelaman,MINUARY,nw
1,T361,berinta,BELEADY,nw
2,T362,sebatif,INSTEMS,nw
3,T363,putanam,FOREASE,nw
4,T364,menjata,RELEADY,nw
1,T365,menjara,JANUTEN,nw
2,T366,katarti,GENTROL,nw
3,T367,menalai,MORWARD,nw
4,T368,digelum,NOTHOUS,nw
1,T369,tenting,SUPPORY,nw
2,T370,berbari,RESULAR,nw
3,T371,putugai,OUTSITE,nw
4,T372,pelayah,SOCIDED,nw
1,T373,bawasan,MICTURE,nw
2,T374,tandaat,FURTAIN,nw
3,T375,leminta,FURRENT,nw
4,T376,harkain,SERTHER,nw
1,T377,kawaban,PRITTED,nw
2,T378,putanal,VAREIGN,nw
3,T379,mandisi,QUALISH,nw
4,T380,sebesan,CENERAL,nw
1,T381,mendana,SEVERAM,nw
2,T382,sencoba,GETWEEN,nw
3,T383,seringa,VARIOUT,nw
4,T384,milihat,DECAUSE,nw
1,T385,posital,POPULTS,nw
2,T386,keadana,SERFECT,nw
3,T387,penilih,JANUTED,nw
4,T388,politip,STARTES,nw
1,T389,setelum,MEELING,nw
2,T390,berbada,AMERAGE,nw
3,T391,sekenan,BECIDED,nw
4,T392,rengkat,BROVICE,nw
1,T393,prabila,ENGLION,nw
2,T394,semberi,FORENDS,nw
3,T395,tinerta,ENGLING,nw
4,T396,apalaga,WRIVATE,nw
1,T397,dirikat,HIMILAR,nw
2,T398,terlaku,FEDICAL,nw
3,T399,masawat,FORNING,nw
4,T400,nelilik,HISTEAD,nw
